id,session,title,authors,orgs,org_type,domain,method,solver,maturity,one_liner,tier2,ss2026
2-A-11,連続最適化(7),Dantzig–Wolfe分解法における感度分析,原田耕平,（株）NTTデータ数理システム,企業,,,,理論,Dantzig-Wolfe分解法で右辺変化やブロック追加時に列再生成が不要となる条件を線型方程式で示した,,
2-A-12,連続最適化(7),利用者とのインタラクションを通じたネットワーク資源の分散需給調停,宮岡佑弥;井上正樹;浦田賢吾,慶應義塾大学;NTTネットワークサービスシステム研究所,産学,通信ネットワーク,分散最適化,,数値実験,符号勾配のみを利用者情報として使う分散需給調停の主双対勾配法を提案しNUM問題を数値実験で検証,,
2-B-1,スケジューリング(2),生成AIと数理最適化を融合した対話型シフト作成支援システムの開発,姫木祐太郎;村松冴子;藤原紳也,伊藤忠テクノソリューションズ株式会社,企業,人員計画;最適化サービス設計,LLM,,解説・提案,生成AIによる要求反映可否判定と数理最適化モデル拡張を組合せた対話型シフト作成支援を提案,ORSJ2026秋_2-B-1_生成AI対話型シフト作成支援,
2-B-2,スケジューリング(2),制約プログラミングによる自治体水道部門の勤務表作成支援―吹田市水道部における実運用事例―,小林敬明;松村諭;森口聡子,(株)TransRecog;吹田市;東京都立大学,産学官,公共;自治体;人員計画,CP,CP-SAT,実運用,CP-SATで自治体水道部門の勤務表を二段階求解し作成時間を約8割削減した実運用事例,ORSJ2026秋_2-B-2_吹田市水道部勤務表,SS2026_GS1-1_吹田市水道部_勤務表作成支援システム
2-B-3,スケジューリング(2),制約プログラミングによる過疎地域における多品種配送・集荷サービスの最適化,黒岩稜,国立情報学研究所;総合研究大学院大学,官公庁,物流;配送計画;公共,CP;MILP,Gurobi;CP-SAT,数値実験,過疎地域の多品種配送・集荷サービス最適化をCPとMILPで定式化し性能を比較,ORSJ2026秋_2-B-3_過疎地域多品種配送集荷,
2-B-4,"離散最適化,グラフ・ネットワーク",グラフ的マトロイドパリティ問題に対する高速なアルゴリズム,寺尾樹哉,京都大学,大学,,グラフアルゴリズム,,理論,グラフ的マトロイドパリティに対しO(n^4/3 m^2/3+√nm)時間の乱択アルゴリズムを提案,ORSJ2026秋_2-B-4_グラフ的マトロイドパリティ,
2-B-5,"離散最適化,グラフ・ネットワーク",特定範囲の経路長を達成する多様な経路集合のオンデマンド生成,武藤慧;天野雄樹;今井桂子,中央大学,大学,交通,構築型ヒューリスティクス;局所探索,,数値実験,経路長範囲を満たしつつ既存経路との類似度を最小化する経路を双方向BFSベースの近傍探索で生成,ORSJ2026秋_2-B-5_多様経路オンデマンド生成,
2-B-6,"離散最適化,グラフ・ネットワーク",単調システムにおける極小除去可能集合の高速列挙アルゴリズム,庄田寛;原口和也,京都大学;東京海洋大学,大学,,グラフアルゴリズム,,理論,k-コア崩壊を一般化した単調システムの極小除去可能集合をO((n+m)log n)で列挙,ORSJ2026秋_2-B-6_極小除去可能集合列挙,
2-B-7,離散最適化(3),乱数シード探索の極値統計と最適リソース配分,杉田宜之,株式会社Gurobi Japan,企業,,統計検定;シミュレーション,Gurobi;HiGHS;SCIP,数値実験,MIP乱数シードの品質・速度の極値統計から最適リソース配分則を導き実測で検証,ORSJ2026秋_2-B-7_乱数シード極値統計配分,
2-B-8,離散最適化(3),基底簡約を用いたmarket split問題の解の全列挙とその並列化,田中大毅,株式会社NTTデータ数理システム,企業,,基底簡約（格子）,,数値実験,基底簡約による格子点列挙でmarket split問題を解き並列化して数秒で解を全列挙,ORSJ2026秋_2-B-8_market_split基底簡約列挙,
2-B-9,離散最適化(3),ϵ-貪欲法によるアンケートの設問設計と効率性解析,福田一允;井上正樹,慶應義塾大学,大学,,メタヒューリスティクス（ε-貪欲法）;統計検定,,理論,期待情報利得に基づくアンケート設問設計をε-貪欲法で高速化しその成功確率を理論解析,ORSJ2026秋_2-B-9_ε貪欲法アンケート設問設計,
2-B-10,離散最適化(4),CDCLを用いたMILPの厳密解法,今井義弥,フリーランス,[要確認],,MILP;CP;CDCL,,数値実験,CDCLと連続緩和を組合せたMILP厳密解法を提案し一部インスタンスで既存ソルバーを上回る,ORSJ2026秋_2-B-10_CDCL_MILP厳密解法,
2-B-11,離散最適化(4),複数日にわたる個別嗜好を考慮したグループ観光計画問題に対する数理モデリング,白水嵩人;胡艶楠,東京理科大学,大学,観光,MILP,Gurobi,数値実験,個人満足度と希望滞在時間を考慮した複数日グループ観光計画をMILPで定式化し3エリアで検証,ORSJ2026秋_2-B-11_グループ観光計画モデリング,SS2026_GS2-2_複数日グループ観光スケジューリング
2-B-12,離散最適化(4),取り出し順序制約付き長方形詰込み問題に対する段階的配置戦略,松本遼大;宮田征季;胡艶楠;橋本英樹,東京理科大学;東京海洋大学,大学,物流,構築型ヒューリスティクス,,数値実験,取り出し順序制約付き長方形詰込みにABS法の評価重みを段階変更するABSS法を提案し充填率を改善,ORSJ2026秋_2-B-12_取り出し順序長方形詰込み,SS2026_GS6-3_取り出し順序制約付き長方形詰込み
2-B-13,離散最適化(4),ＤＸを進化させるHexaly Optimizer 14.5,宮崎知明,MSI株式会社,企業,最適化サービス設計;SCM,商用パッケージ;メタヒューリスティクス,Hexaly Optimizer,解説・提案,Hexaly Optimizerの大規模最適化・柔軟な定式化機能と適用事例を紹介,ORSJ2026秋_2-B-13_Hexaly_Optimizer_14.5,SS2026_GS5-3_Hexaly_Optimizer_15.0
2-C-1,学生発表(7)／マーケティング，意思決定,需要の不確実性と参照価格効果を考慮した多期間価格最適化,猪熊柾人;池田春之介;高野祐一,筑波大学,大学,,MILP,,数値実験,参照価格効果とパラメータ不確実性を考慮した多期間価格最適化をSOS2制約のロバストMILPで定式化,,
2-C-2,学生発表(7)／マーケティング，意思決定,Locking In vs. Letting Wait: A Signaling Explanation of Early Bird Pricing Strategy,HAN Xiaoli;SHEN Feiyang;XU Xiaolin;XUE Weili,Nanjing University;City University of Hong Kong;Southeast University,大学,,ゲーム理論,,理論,品質不確実性下の2期間シグナリングモデルで早期割引がレビュー学習と価格信号に与える影響を分析,,
2-C-3,学生発表(7)／マーケティング，意思決定,Pricing and Carbon Reduction in Supply Chains under Consumer Heterogeneity,张福利;韩小丽;潘国玥;徐小林;朱东浩,Nanjing Audit University;Nanjing University;Univ. of Tsukuba;Univ. of Tokyo,大学,SCM,ゲーム理論,,理論,Stackelberg型SCMで緑色需要の広さと強さが市場カバレッジ・排出削減・利益配分に与える影響を分析,,
2-C-4,AHP，意思決定,On a Maximization Problem Arising from Low-Dimensional Positive Reciprocal Matrices in AHP: Uniqueness of the Solution,白石俊輔;小畑経史,広島工業大学;追手門学院大学,大学,,,,理論,AHPの4次一対比較行列の欠損補完でc3最大化解が一意となるのは生成グラフが連結な場合と示した,,
2-C-5,AHP，意思決定,一対比較行列の構造的同値性と整合性の質の分類,小畑経史;白石俊輔,追手門学院大学;広島工業大学,大学,,,,理論,置換相似変換による一対比較行列の構造的同値性を定義し準整合的・真正不整合的という新分類を提案,,
2-C-6,AHP，意思決定,駅構内避難における災害弱者を考慮したマルチエージェント型動線分析,増田浩通,多摩大学経営情報学部,大学,交通;公共,シミュレーション,,数値実験,京王永山駅を想定したNetLogoWebマルチエージェントモデルで災害弱者の避難遅延をシナリオ比較,,
2-C-7,DEA,企業の環境CSR活動とDEA経営効率性の関係分析,張成全;大谷順司;齊藤志保;後藤美香,東京科学大学;三菱電機株式会社,産学,,統計検定,,実データ検証,環境CSR合成指数とメタフロンティアDEA経営効率の関連をTobit回帰で検証し正の統計的関連を確認,,
2-C-8,DEA,A simple computational framework for non-oriented monotonic eﬃciency measures with closer targets,関谷和之;施建明;王緒,成蹊大学;群馬大学,大学,,,,実データ検証,非指向型DEAの単調効率性指標をLPで解ける2次元section法により実データで改善目標を近接化,,
2-C-9,DEA,A Malmquist-Luenberger Index with Momentum and Endogenous Directions,王緒;LEE Chia-Yen,群馬大学;National Taiwan University,大学,エネルギー,,,実データ検証,モメンタム項と内生方向を導入したED-MBML指数を提案し中国エネルギー部門パネルデータで評価,,
2-C-10,多目的・ファジィ,多目的非協力ゲームに対するパレート均衡解とメリット関数,堀篤史,名古屋工業大学,大学,,ゲーム理論,,理論,重み付けに依らない多目的ナッシュ均衡の存在条件と計算用の正則化メリット関数を提案,,
2-C-11,多目的・ファジィ,集合順序関係に基づくロバスト多目的最適化の統一的解釈,荒谷洋輔,秋田県立大学,大学,,,,理論,6種の集合順序関係を用いロバスト多目的最適化の各種ロバスト性概念を量化子構造で統一的に整理,,
2-D-1,待ち行列研究部会(1),不動点法を用いた異種容量・異種サービス率を有する大規模並列サーバシステムにおける負荷分散方式の解析,関田千隼;Phung-Duc Tuan,筑波大学,大学,通信ネットワーク,待ち行列,,数値実験,容量とサービス率を両方考慮するMPCS方式を提案し平均場近似の不動点法でMFV方式との性能比較,,
2-D-2,待ち行列研究部会(1),ソース認識型パケット管理を用いた状態更新システムにおけるAoIの解析,濱野太一;Phung-Duc Tuan,筑波大学,大学,通信ネットワーク,待ち行列,,数値実験,複数ソース環境のソース認識型パケット管理システムの平均AoIをSHSで導出しシミュレーションで検証,,
2-D-3,待ち行列研究部会(1),閾値制御を用いたM/M/c/Setup型待ち行列の解析,川野泰雅;Phung-Duc Tuan,筑波大学,大学,エネルギー,待ち行列,,数値実験,ジョブ数閾値で稼働サーバ数を段階制御するM/M/c/Setup待ち行列を行列解析法で解析し電力-遅延積を評価,,
2-D-4,待ち行列研究部会(2),確率選択と動的閾値制御を伴うファスナー合流待ち行列,後藤優希;Phung-Duc Tuan,筑波大学,大学,交通,待ち行列,,数値実験,早期合流とファスナー合流を統合したハイブリッド制御をQBD過程で解析しパレート優位な性能を確認,,
2-D-5,待ち行列研究部会(2),実行遅延をもつ並列型無限サーバ待ち行列の線形近似,安部和真;Phung-Duc Tuan,筑波大学,大学,,待ち行列,,数値実験,線形連鎖法で実行遅延を含む並列無限サーバ待ち行列を近似しサーバ間ジョブ数差のHopf分岐を確認,,
2-D-6,待ち行列研究部会(2),待ち行列モデルを用いたサポートデスク業務の性能評価,吉村龍;Phung-Duc Tuan,筑波大学,大学,,待ち行列,,実データ検証,窓口解決率を考慮したサポートデスク待ち行列モデルを実運用ログで検証し増員に代わる改善余地を提示,,
2-D-7,待ち行列研究部会(3),待ち客の場所の排他的占有と一定の前進遅延を伴う単一窓口待ち行列,塩田茂雄;新宮大稀,千葉大学,大学,,待ち行列,,理論,前進遅延が一定の排他的待ち室モデルについて安定条件と平均系内客数の解析式を導出,,
2-D-8,待ち行列研究部会(3),二次元ポアソン・ボロノイ分割におけるServing Distanceで条件付けたゼロセル面積分布,塩田茂雄;宮森祐輔;陳冠舟,千葉大学,大学,通信ネットワーク,,,数値実験,Serving distanceで条件付けたゼロセル面積分布をガンマ分布で近似しHill型関数で形状母数を表現,,
2-D-9,待ち行列研究部会(3),パニック買いを防ぐための家庭内在庫の観測と制御,豊泉洋;服部かおり,早稲田大学,大学,SCM;需要予測,待ち行列,,数値実験,家庭内在庫をカンバン信号として観測しプル型補充制御に取り込むことでパニック買いと在庫偏在を抑制,,
2-E-1,確率統計(1),スポーツの対戦方式における勝利数の行列計算と応用例,廣津信義,順天堂大学,大学,スポーツ,,,数値実験,対戦指定行列と勝利確率行列を用い総当たり・トーナメント・スイス方式の期待勝利数を統一的に計算,,
2-E-2,確率統計(1),セルラネットワークにおけるハンドオーバ対象セル分布に基づくモビリティロバストネス解析,徳山喜一,三重大学,大学,通信ネットワーク,,,理論,確率幾何を用い直線移動するUEのハンドオーバ対象セルの空間分布を解析的に導出,,
2-E-3,確率統計(1),複数故障を考慮した運用・停止期間システムの最適運用方策,水谷聡志;中川覃夫,愛知工業大学,大学,,,,理論,運用期間中に複数故障が発生し得るシステムの停止期間について期待費用最小化・利益最大化モデルを導出,,
2-E-4,学生発表(10)／確率統計(2),大阪・関西万博来場者のクラスタリング分析―MCMMとK-Prototypesの比較を通じて―,山下優香;趙宇,東京理科大学,大学,観光,機械学習,,実データ検証,万博来場者アンケートに混合コピュラ混合モデルを適用しK-Prototypesより良好なクラスタリング結果を確認,,
2-E-5,学生発表(10)／確率統計(2),マルコフ型到着過程を入力とする待ち行列における累積到着数で条件付けた系内客数の過渡解析,林海斗;井上文彰;滝根哲哉,大阪大学,大学,,待ち行列,,数値実験,MAP型待ち行列で有限区間の累積到着数を条件付けた系内客数の過渡分布を導出し数値例で挙動を確認,,
2-E-6,確率統計(3),新刊書籍のマルチモーダル需要予測と商品企画への応用,森正晴;矢中祥吾;猪熊柾人;上島司;山下穂乃果;和田菜々里;池田春之介;高野祐一,筑波大学,大学,需要予測,機械学習;LLM,,数値実験,表・文章・画像を統合したマルチモーダル学習と転移学習で新刊書籍の週別販売冊数を予測する手法を提案,ORSJ2026秋_2-E-6_新刊書籍マルチモーダル需要予測,
2-E-7,確率統計(3),製造所におけるカルマンフィルタを用いた使用電力量監視システムの開発,野々村真誉;山本佑樹;河合正輝;浅田勝義,株式会社UACJ,企業,製造;エネルギー,,,実運用,構造時系列モデルとカルマンフィルタで工場の30分デマンドを予測し実機導入でアラート発報回数を51%削減,,
2-E-8,確率統計(3),マクロ動向データを組み込んだ外部変数モデルによる消費財需要予測の高度化と実務適用,山尾ジキソンヒデキ;宮地優斗,ライオン株式会社,企業,需要予測;SCM,,Prophet,実運用,訪日外客数等の外部変数をProphetに組み込むハイブリッド需要予測を実務導入し在庫意思決定を迅速化,,
2-F-1,金融関連(1),機械学習を用いた共和分性の推計とバスケット戦略に関する研究,呉鐘坤;山本零,慶應義塾大学,大学,金融,機械学習,,実データ検証,BiLSTMでJohansen trace統計量を予測しS&P500から3資産共和分バスケットを効率的に選定,,
2-F-2,金融関連(1),Relative entropy-regularized robust optimal order execution under transient impact,Makoto Shimoshimizu;Tai-Ho Wang,Tokyo University of Science;City University of New York,大学,金融,,,理論,相対エントロピー正則化ロバスト制御に一時的マーケットインパクトを組込んだ最適執行のHJBI解を導出,,
2-F-3,金融関連(1),Investment timing and scale strategies under capital stock reversibility constraints,芝田隆志,法政大学,大学,金融,,,理論,資本可逆性に下限制約を課した場合の投資タイミング・規模・可逆比率を決めるリアルオプションモデルを提案,,
2-F-4,学生発表(11)／金融関連(2),データ制約下の新興国メガインフラ投資におけるロバスト・リアルオプション分析,佐藤聞世;今井潤一,慶應義塾大学,大学,金融,,,数値実験,下方ジャンプと体制転換への相対エントロピー型ロバスト制御を組込んだ二段階停止モデルで較正分析,,
2-F-5,学生発表(11)／金融関連(2),Secured-Creditor Governance and the Timing of Green Transition,王鐘立,大阪大学,大学,金融;エネルギー,,,数値実験,担保付債権者の同意制度がグリーン転換の実行タイミングと企業価値配分に与える影響をQVIモデルで分析,,
2-F-6,厚生と医療のOR研究部会(1),ヘルスケアリーフレットの普及啓発と大規模言語モデルを利用したモニタリング提案,阪口昌彦;片山佳代子;池田さやか;上田豊;八木麻美,高知大学;群馬大学;さやかウィメンズヘルスクリニック広尾;和歌山県立医科大学,産学,医療,LLM,,実データ検証,LLMでPEMAT-P評価を自動化し授乳・離乳リーフレットの理解しやすさと行動しやすさをDEAで統合評価,,
2-F-7,厚生と医療のOR研究部会(1),汎用デバイスとAIを活用した現場で発生する記録の支援ツール,伊藤賢;長谷川孝博,静岡大学;聖隷クリストファー大学,大学,医療,LLM,,実運用,Apple WatchとAI文字起こしを組合せた看護記録支援ツールVNFを試作し現場協働で要件を探索,,
2-F-8,厚生と医療のOR研究部会(1),感染症流行の確率過程（有限集団モデル）の解析,高木英明;Brian L. Mark,筑波大学;George Mason University,大学,医療,,,理論,有限集団のSIR型感染拡大を連続時間マルコフ過程でモデル化しラプラス変換で定常確率を解析,,
2-F-9,厚生と医療のOR研究部会(2),Operating Room Scheduling with Hospital-Speciﬁc Multiple Time Windows and Delay-Risk Considerations,BAI Xinyun;伊藤真理,神戸大学,大学,医療,MILP,,数値実験,病院固有の複数時間枠と手術時間の不確実性を考慮した2段階確率MIPで手術室スケジューリングを最適化,ORSJ2026秋_2-F-9_手術室スケジューリング,
2-F-10,厚生と医療のOR研究部会(2),隊員間輸血の数理モデルによる枯渇時刻の解析,服部将大;佐久間大;鵜飼孝盛,防衛大学校;東京理科大学,大学,医療,,,数値実験,隊員間輸血の血液枯渇時刻を確定的・確率的モデルで解析し低力価O型の最適配分と最大枯渇時刻を導出,,
2-F-11,厚生と医療のOR研究部会(2),入院日数分布モデルを用いた病床管理方策のシミュレーション評価,市原寛之;伊藤真理;猪口貞樹,中部大学;神戸大学;海老名総合病院,産学,医療,シミュレーション,,実データ検証,実データに基づく入院日数分布モデルで病床利用シミュレーションを構築し病床管理方策を評価,,
2-G-1,都市・地域・国土,訪問履歴を考慮した人流推定手法の開発,*松岡南帆;新垣真里那;髙橋周汰;鈴木桂輔;小林敬和,香川大学,大学,交通,メタヒューリスティクス(GA);シミュレーション,,実データ検証,GAを用いた回遊行動考慮の人流推定モデルを開発し、高松市の実データで相関係数0.66（重力モデル単体0.62）を確認した,ORSJ2026秋_2-G-1_訪問履歴考慮人流推定,
2-G-2,都市・地域・国土,時間的にも公平な移動施設の配置モデル,*諸星穂積,政策研究大学院大学,大学,公共,MILP,,数値実験,移動施設の巡回順序を需要との差異最小化のMILPとして定式化し、1・2次元の数値実験で議長選任モデルと比較した,ORSJ2026秋_2-G-2_時間的公平移動施設配置,
2-G-3,都市・地域・国土,施設縮減における再編後のアクセス負担と追加負担の公平性―施設選択と需要割当てに着目した仮想都市比較―,*古田壮宏,奈良教育大学,大学,公共,MILP,,数値実験,施設縮減の再編後負担と追加負担の公平性をKP-EDEで比較するモデルを提案し、仮想都市実験で発生要因を分析した,ORSJ2026秋_2-G-3_施設縮減アクセス負担公平性,
2-G-4,輸送・交通,自動車交通データを用いた充電インフラ施設配置問題,三浦英俊;愛敬百花,南山大学,大学,交通,MILP,,実データ検証,プローブカーと交通量計測データを用いて最大被覆問題として充電インフラ配置を求め、名古屋市中心部で配置例（p=5）を示した,ORSJ2026秋_2-G-4_充電インフラ施設配置,
2-G-5,輸送・交通,放射・環状道路網上のロードプライシングと走行距離,*宮川雅至,山梨大学,大学,交通,,,理論,放射・環状道路網モデルでロードプライシングの走行距離への影響を解析し、通過交通は課金領域を迂回し走行距離がほぼ減らないと示した,ORSJ2026秋_2-G-5_放射環状道路網ロードプライシング,
2-G-6,輸送・交通,鉄道輸送の信頼性を考慮した軌道変位管理法,*三和雅史;白江雄介;青木宣頼,東京経済大学;東日本旅客鉄道株式会社,産学,鉄道,統計検定;シミュレーション,,実データ検証,推定脱線係数比に基づく信頼性管理法(RCM)を提案し、60曲線の実測データで従来管理より少ない保守量（最大約38%）で目標状態を実現できると確認した,ORSJ2026秋_2-G-6_鉄道軌道変位管理法,
2-G-7,エネルギー・環境,複数の環境負荷を同時に考慮した世界各国の環境生産性の推計とその分解－Metafrontier Global Luenberger Indexによるアプローチ－,*江口昌伍,福岡大学,大学,エネルギー;環境,DEA,,実データ検証,SBMとMetafrontier Global Luenberger Indexを組み合わせ、90カ国の複数環境負荷（CO2等）を考慮した環境生産性の変化を要素別に分解して分析した,ORSJ2026秋_2-G-7_世界環境生産性推計分解,
2-G-8,エネルギー・環境,Optimal Timing of Adoption of Pollution Reduction Technology under Technological Uncertainty,*玉置哲也,香川大学,大学,エネルギー;環境,DP,,理論,技術革新の不確実性下でリコールオプション付き有限期間リアルオプションモデルを構築し、投資閾値の存在と一意性を示した,ORSJ2026秋_2-G-8_汚染削減技術導入タイミング,
2-G-9,エネルギー・環境,マイニング運用下における再生可能エネルギーへの投資意思決定モデル,*竹田侃志;下清水慎;伊藤和哉;髙嶋隆太,東京理科大学,大学,エネルギー;金融,DP,,数値実験,発電事業者とマイニング事業者による再エネ電源投資をリアルオプションで評価し、両者の投資閾値を導出、数値分析で投資価値を比較した,ORSJ2026秋_2-G-9_マイニング再エネ投資意思決定,
2-T-1,特別講演3,多様な組合せ的問題に対するアルゴリズム設計論,*小野廣隆,名古屋大学,大学,,,,解説・提案,多様な組合せ的問題に対するアルゴリズム設計論をテーマにした特別講演,ORSJ2026秋_2-T-1_特別講演小野廣隆アルゴリズム設計論,
